DESeq2_PDX3_CBAM44728_MLL-AF10_MEN1-WT_vehicle vs. MEN1-WT_VTP50469,Gene,log2FC,padj
,MX1,2.682354148,3.78E-32
,CREB3L1,-0.391200481,0.571737197
,C2CD2,-0.013633869,0.97475401
,TAB3,0.209147103,0.164362281
,SLC38A10,0.119215565,0.403813788
,C9orf43,0.426827656,0.443349224
,PALM2AKAP2,0.755148126,8.34E-11
,ZNF618,-0.017693487,0.928583331
,DGKI,0.772031485,0.194100116
,TMEM268,0.277785039,0.110016704
,SVOPL,-0.310209455,0.69268133
,SNX22,-0.336787555,0.512262469
,UBN2,0.293878704,0.024543875
,BRAF,0.14108674,0.362531338
,SLC34A2,-0.307958499,0.628278976
,ACAN,0.012820692,NA
,PSMG3,-0.470770174,0.000173912
,CABP1,0.184868824,0.762641727
,WDR19,-0.165516773,0.594746951
,SLC37A3,-1.03980755,0.000654889
,AP3S2,0.384246436,0.004004591
,FMNL2,-2.375342487,2.49E-38
,GAREM2,-1.029721583,0.008684663
,SPPL3,0.549456682,3.52E-07
,DPYSL5,-0.087053061,NA
,DRC1,0.646849482,0.185379387
,RAB28,-0.22168049,0.312958674
,PRXL2B,1.46400006,6.34E-05
,TNFRSF14,4.972120998,2.43E-210
,PANK4,0.145088088,0.423111882
,CIB4,NA,NA
,MEGF11,0.521935664,0.430837932
,C12orf43,-0.335032149,0.053474035
,PEX10,0.030555416,0.940672915
,RER1,0.037471181,0.807476894
,RADIL,-0.231072502,0.77940253
,SKI,-0.149427315,0.373469505
,WIPI2,-0.094470218,0.425544798
,SSX8P,0,NA
,LDLRAP1,-0.419847297,0.000870713
,AGAP1,0.659534613,0.074395768
,KRTCAP3,-0.12248833,0.838715849
,ANKRD61,0.002691222,0.996871598
,PAFAH2,0.32539456,0.015444551
,EXTL1,-0.324601947,0.675350005
,SLC30A2,0.087029785,NA
,BABAM2,-0.910144976,6.02E-35
,TRIM63,1.278158702,0.013995624
,WDR66,-0.291772626,0.630315297
,MRPL17,-0.806800427,1.92E-09
,DUSP2,-1.23841743,1.78E-05
,GRHL3,0.266645726,0.696213003
,UBXN11,1.61203513,3.30E-53
,NLRP14,-0.657549398,0.290328939
,PTPDC1,-0.293001402,0.112128363
,GALNT14,-0.058675354,0.902016495
,NCK1,0.117899629,0.564597464
,HPD,-0.50093899,0.270867973
,RHPN1,-1.594870788,5.58E-08
,TPRG1L,0.351656111,0.001385264
,LRRC43,0.06075173,0.953131787
,PRXL2C,0.370945405,0.01222877
,XDH,1.233790539,0.019378203
,XKR8,-0.227030305,0.19964137
,CNNM4,0.337972207,0.04044478
,EYA3,-0.204989928,0.261489272
,DZIP1L,0.449411304,0.045137839
,TMSB15A,-2.044611997,7.14E-16
,FANCC,-0.800834253,6.72E-07
,MRAS,0.102646661,0.62703
,WASF2,0.046036772,0.772125911
,ABHD3,-0.053434187,0.834843402
,ESYT3,-0.78672923,0.09538852
,FAIM,-0.151076531,0.638237802
,TENT5B,-0.200257908,0.792312834
,CLSTN2,-0.360426127,0.443349224
,COLEC12,1.936861276,2.47E-08
,RNF207,0.962098083,0.019467702
,CUL4B,0.245208023,0.052230252
,GPR153,-1.388084468,0.00013311
,SLC13A3,-0.125346204,0.873383488
,GPRASP2,0.327925958,0.549383583
,RHBDL2,0.878408941,0.124717673
,AUTS2,-1.588222477,2.35E-22
,SHROOM4,-0.322375202,0.624487507
,H2BC5,1.465806509,7.76E-06
,CDC25C,-0.768839986,4.53E-05
,H4C8,0.0046884,0.993545205
,MITD1,0.219207834,0.089942023
,EIF5B,-0.594916171,1.16E-11
,RIBC1,0.29344091,0.669538487
,TMSB15B,-0.404854648,0.578383929
,CATIP,0.622049396,0.168194441
,CNOT11,-0.21015302,0.075232652
,KCNB1,0.392556548,0.5768623
,TSPAN33,0.131907869,0.70016583
,NRG2,-0.18564025,0.811513211
,AHCYL2,0.367652555,0.042050181
,B4GALT5,0.547284478,3.83E-05
,CD1D,0.2251319,0.15076779
,CD1A,0.659282517,0.039605015
,SPATA2,0.549616272,4.44E-05
,CD1C,0.743452053,0.045266686
,SNX29P1,0.133728492,0.861860455
,FAM86C1,-0.329040554,0.290422555
,CD1B,0.012930343,NA
,DNAH3,-0.97604738,0.075626348
,CD1E,1.941881425,1.48E-05
,HMHB1,NA,NA
,CPA2,0,NA
,NCF1,0.502065705,0.063788036
,CPA5,-0.078578744,0.917419993
,TSR2,-0.351381012,0.007992821
,PPP1R9A,-0.535296751,0.338714037
,ZC3H18,-0.359405766,0.001226295
,ZFAND2B,-0.60662193,5.71E-07
,POM121L2,0.593542541,0.345783155
,GDPD5,0.341255908,0.031968059
,DYNC1I1,-3.217010343,6.45E-72
,PFKFB1,0.692826101,0.231109208
,ALAS2,0.545819353,0.304838681
,TMED4,-0.098219837,0.464392178
,PPP1R15B,0.043266671,0.771102157
,COPG2,0.174433124,0.310305015
,EMSY,-0.089307926,0.690830981
,PAGE5,-0.150241167,NA
,GPAT4,-0.320494933,0.000358871
,PKD1L1,-0.125689241,0.859799105
,ZSCAN12,-0.219123456,0.380707347
,TAGLN2,-0.728995451,6.74E-14
,ELK4,0.086498337,0.651633386
,SLAMF8,0.365883141,0.518693268
,SLC45A3,-1.3570064,1.20E-21
,DUSP23,-0.376585025,0.033373702
,RNF166,0.462053367,0.000156325
,OR10J6P,NA,NA
,NBL1,-0.310474489,0.688112236
,HTR6,0.177838539,NA
,ITLN2,0.041983092,NA
,F11R,1.192020028,5.78E-12
,USF1,0.093964424,0.472560136
,PLA2G2F,-0.979934544,0.077756604
,SPATA2L,0.174562769,0.660593298
,NIT1,0.128673843,0.435180105
,DEDD,0.348669477,0.003483232
,ZNF276,-0.111010148,0.620347844
,NPM2,-0.712713509,0.024946622
,EDA,0.915910771,0.026251798
,FGF17,-1.057052458,0.034385449
,VWA5B1,-0.063289553,NA
,CDA,3.973448708,7.11E-125
,PINK1,0.698346039,0.00024488
,B4GALT3,-0.273801817,0.061997614
,DMTN,-0.804653493,0.09777158
,ADAMTS4,-0.43337527,0.517940009
,FAM160B2,-0.154381469,0.441010748
,NDUFS2,-0.014721638,0.934683617
,SLC5A11,-0.976213221,0.016244363
,FCER1G,1.2213618,1.99E-22
,APOA2,1.360011475,0.005917273
,TOMM40L,0.132642124,0.57137662
,MPZ,0.321946764,0.279751444
,WFDC8,-0.031718829,NA
,CCAR2,-0.202734018,0.076921352
,WNT9B,0,NA
,CACHD1,-1.318683799,1.20E-16
,CDC42SE2,0.269474178,0.071470435
,RAPGEF6,-0.046234733,0.858400533
,EPB41,0.569545114,1.35E-05
,MIS18A,-0.58014022,2.26E-06
,ALG8,-0.626760281,5.15E-08
,FBXW5,-0.205519173,0.123616769
,CFAP298,-0.487537927,0.000116204
,SYNJ1,0.72650475,1.07E-08
,PAXBP1,0.041661317,0.784714886
,IFNAR2,0.037685526,0.869803798
,MRPL10,0.062908226,0.731142192
,IFNGR2,1.20210947,2.16E-21
,GART,-0.386422956,9.36E-05
,SON,-0.165503492,0.042888075
,DONSON,-0.630475128,5.09E-09
,SV2A,0.330422218,0.668676247
,LAD1,-0.209027632,NA
,STC1,0.255250973,NA
,TNNI1,0.078030287,NA
,CSRP1,-0.028479987,0.895302676
,PRAC1,NA,NA
,HOXB13,NA,NA
,AC007383.1,0.041983092,NA
,C1QC,0.572711896,NA
,KCNE2,0.084471609,NA
,ATP5MC1,-0.478485146,0.000747084
,RCAN1,0.110699004,0.627357801
,UBE2Z,0.189858309,0.070788354
,CIART,-0.593930818,0.249730475
,SNF8,-0.274053273,0.040701965
,CLIC6,-1.604718094,1.41E-07
,CCDC24,0.371495271,0.241009717
,RUNX1,0.367615395,8.36E-05
,IGF2BP1,0.305678493,NA
,GIP,NA,NA
,CBR1,-0.758110583,6.49E-09
,CBR3,-0.000376833,1
,TUBBP5,0.131221059,0.864747034
,GJD2,-0.031718829,NA
,ACTC1,1.041391486,0.047516128
,MORC3,0.21725748,0.083429745
,CHAF1B,-0.959893136,3.83E-11
,CLDN14,0,NA
,SIM2,-1.153670691,0.026244287
,HLCS,-0.915193229,5.41E-11
,GOLGA6A,0.005132131,NA
,SCUBE1,-0.572256313,9.92E-13
,ARHGAP27,0.417182603,1.55E-05
,ADPGK,0.441118584,2.16E-10
,PTMS,-1.013544418,1.46E-14
,PLA2G4D,-3.518130516,8.95E-19
,PADI4,1.939783619,6.43E-30
,ADIPOR1,0.000142656,1
,CYB5R1,0.892153955,8.60E-22
,PSMD4,-0.497979312,4.51E-06
,ATP13A2,-0.10386403,0.617134825
,M1AP,2.603140029,3.57E-31
,PSMB4,-0.238169749,0.034631615
,IRX6,-0.031718829,NA
,BTG2,0.29409146,0.045749919
,CES5A,0.00759241,NA
,HK2,0.500686394,8.61E-06
,C1R,-0.751835862,0.022519526
,CELF3,0.105416088,0.909180616
,ALDH4A1,0.360381996,0.041615258
,STARD9,-0.513213826,0.181024445
,THEM4,-0.217815559,0.264173731
,TCHH,-0.088893979,0.802686907
,LCE2B,NA,NA
,UBR1,0.043709586,0.841112396
,AMFR,0.133952191,0.355941382
,MED8,-0.149521293,0.313102386
,TGM7,0.041983092,NA
,RGL4,-0.048157722,0.88674474
,SPRR2G,NA,NA
,PGLYRP3,-0.079928425,NA
,ISL2,0.108979571,NA
,RSPRY1,0.197928005,0.169293014
,CCDC17,0.04847675,0.921767058
,GPBP1L1,-0.107459968,0.366011816
,NAE1,-0.435785599,5.98E-06
,TMEM69,0.169080248,0.259059154
,ADGRG5,-3.811390079,1.22E-80
,DRC7,-0.970128667,0.004324765
,ACE,-1.123905265,0.014056579
,TEPP,0.381118811,0.599171906
,UROC1,-0.34182903,0.653187953
,EFCAB14,0.309912107,0.00641561
,SPON2,-0.234711135,0.229195364
,CHCHD6,-0.33242762,0.304704595
,CTBP1,-0.012330286,0.9541846
,LRRC36,-0.169294954,0.807686297
,ANKRD18CP,-0.352151265,0.528473537
,TPPP3,-0.241489446,0.767493096
,ZDHHC1,-0.077819223,0.906722648
,ATP6V0D1,0.079887618,0.651725084
,AGRP,0.144788609,0.663554133
,ZFYVE28,0.195595863,0.626055553
,CARMIL2,-2.234604842,4.13E-36
,C16orf86,0.458525624,0.044270998
,PIP,NA,NA
,FAM131B,0.061269698,0.885000183
,RGS12,-0.392457171,0.002002808
,PSKH1,0.076298472,0.747455005
,ZYX,0.655348511,1.93E-14
,ABR,0.265886193,0.00915373
,TCAF2P1,-0.30042783,0.69835574
,LYPD5,0.735889594,0.039001539
,CCDC117,-0.248406194,0.097582881
,ZNF230,0.29048655,0.031203498
,CCDC107,-0.391318827,0.496877894
,ZNF222,0.381358568,0.071658688
,NPR2,-1.570157652,1.15E-09
,ZNF890P,-1.271105051,0.003991625
,ZNF221,0.304119534,0.427251909
,ZNF233,0.350926474,0.61822156
,ZNF235,-0.025200577,0.961241263
,GNE,-0.251384228,0.065004705
,TNFRSF13C,-0.055342044,0.949670549
,OR3A3,NA,NA
,ARHGAP35,-0.049689957,0.830547308
,PTGIR,1.859264306,3.60E-05
,CALM3,-0.2220328,0.041816184
,DFFA,-0.6064525,3.22E-06
,CCDC28B,-0.038508509,0.943898238
,IQCC,0.148531487,0.712301096
,TMEM234,0.302408333,0.186903825
,BSDC1,-0.045731653,0.753683681
,ZBTB8A,-1.29609165,3.17E-09
,ATAD3B,-0.264751656,0.176357267
,SSU72,-0.14135549,0.251711436
,UBE2J2,-0.113862695,0.59190223
,ZNF362,-0.305035532,0.001149336
,FNDC5,-0.469478558,0.502228863
,CPAMD8,4.609756142,1.15E-39
,NR2F6,0.261549748,0.099996685
,ANKLE1,0.413971567,0.190593188
,CCDC58,-0.566237256,0.00010077
,VMA21,-0.135358066,0.229240286
,KALRN,-0.751972113,0.019015198
,CILP2,0.714629777,0.156660183
,FAM86C2P,-0.416071488,0.262058775
,ABCG1,0.015175402,0.979238694
,TFF3,NA,NA
,TFF2,NA,NA
,TFF1,0,NA
,TMPRSS3,0.1281251,0.844167964
,UBASH3A,0,NA
,RSPH1,0.653390192,0.281016014
,SLC37A1,-0.195686765,0.229441708
,PDE9A,-0.117936729,0.862591289
,WDR4,-0.87055586,3.30E-08
,NDUFV3,0.173323527,0.219893715
,PKNOX1,0.024337675,0.938714007
,CBS,NA,NA
,U2AF1,0.15999043,0.651905547
,CRYAA,NA,NA
,HSF2BP,-0.152069706,0.867367188
,RRP1B,-0.116882288,0.395318103
,PDXK,0.653049199,1.66E-05
,G6PD,-0.636189715,5.68E-08
,CSTB,0.064203606,0.740548327
,RRP1,-0.31689425,0.02391791
,AGPAT3,0.007255357,0.970409024
,TRAPPC10,0.394470998,0.012742038
,GAB3,0.21010685,0.094369932
,GATD3A,-0.020367691,0.978858786
,ICOSLG,-0.62572702,0.249730475
,AIRE,0.01589184,NA
,CFAP410,-0.259294549,0.360462665
,ZNF66,-0.036022123,0.943899632
,LRRC3,0.472088323,0.04665932
,ITGB2,0.113620831,0.566982954
,FAM207A,-0.603868902,0.013721248
,RALGDS,0.197501789,0.333623195
,FTCD,0.060066928,0.954294593
,SPATC1L,-0.323722064,0.110554012
,LSS,-0.415261991,0.041559445
,VAV2,-0.571943068,3.52E-06
,MCM3AP,0.188140044,0.143205505
,C21orf58,-0.525956319,5.22E-06
,PCNT,-0.361867131,3.40E-05
,DIP2A,0.193215074,0.218213702
,S100B,-0.865795959,0.017673383
,PRMT2,-0.020719145,0.884920289
,CLDND2,0.273769609,0.395284491
,ZNF208,0.174009788,NA
,ADAMTS13,0.279008544,0.416996136
,CACFD1,0.604042201,0.021164054
,SLC2A6,5.380329101,4.45E-64
,ZNF761,-0.175565881,0.260322273
,FCN2,0.295225604,NA
,C9orf116,0.223207023,0.767603367
,LCN1,NA,NA
,ZNF714,-0.090506697,0.590436362
,GPSM1,-0.669951441,0.088126563
,C19orf47,-0.177874559,0.49446946
,HIPK4,-0.448808382,0.501654421
,CFAP157,-0.198149775,0.716357463
,TOR2A,0.208889849,0.129926581
,ST6GALNAC6,-0.783374664,0.008554206
,SHKBP1,-0.34940573,0.000507974
,RDH13,0.419418912,0.012879644
,ZER1,0.440801139,0.000169723
,ZDHHC12,-0.103707624,0.573204993
,PKN3,-0.023614109,0.977626204
,AC020929.1,-0.228246682,0.776053529
,BRSK1,-0.840010337,0.09538852
,COX6B2,-0.364792708,0.608167984
,TMEM190,0,NA
,NLRP4,0.008634334,NA
,PLPP7,-0.051333234,0.891779391
,TAOK1,0.508846898,0.000546112
,MED27,-0.325240142,0.160414054
,DEDD2,1.082513355,6.14E-17
,SIK3,0.955403675,7.15E-21
,MPZL3,1.434837724,1.11E-11
,JAML,3.252790653,2.36E-77
,NEK8,-0.321260688,0.177759117
,TLCD1,-0.979573556,0.013174897
,PCSK7,0.475158707,6.63E-05
,SAFB,-0.243497376,0.019580814
,CD3G,0.101498768,NA
,S100A1,-0.03357117,0.936199834
,CHTOP,-0.17163601,0.074255102
,CXCR5,-0.031718829,NA
,ZBTB7B,0.930654385,1.49E-25
,FLAD1,-0.341889098,0.007302566
,SHC1,0.146426608,0.23361851
,VPS11,0.222866695,0.030945267
,NLRX1,0.323844218,0.009202206
,ADAR,0.396773418,4.06E-06
,IL6R,-0.296135623,0.00247313
,UBE2Q1,0.088033944,0.462431174
,CHRNB2,-0.358651461,0.563803994
,CRTC2,-0.038720276,0.846118946
,ANO10,0.76285197,1.66E-08
,FDPS,-0.716200176,4.26E-06
,RUSC1,-0.113462421,0.596760777
,GBAP1,-0.689744647,0.003947895
,FAM189B,0.302828325,0.03195348
,PAQR6,0.649381469,0.000290583
,PMF1,-0.244900976,0.107447732
,SLC25A44,0.499352575,6.08E-06
,LMNA,1.216870039,4.30E-17
,CCR5,0.247053802,0.256502283
,NBEAL2,0.959181213,5.87E-14
,CCDC12,-0.166374247,0.330581731
,PTH1R,-0.368380883,NA
,UBQLN4,-0.399209159,0.005876387
,MYL3,0.219472025,0.794023453
,PPP1R35,-0.542872826,0.010729436
,GPATCH4,-0.896417329,2.90E-11
,LRRC71,0.440003487,0.537331812
,FCRL3,0.041983092,NA
,AZGP1,NA,NA
,FGFR4,-0.052585349,0.957791403
,CYP3A4,0.211164918,0.757853912
,CYP3A7,0.53597093,0.392680396
,NACC1,-0.116373633,0.556075237
,CYP11B1,NA,NA
,HK3,0.077434191,0.75291615
,LY6K,NA,NA
,IER2,0.465637269,0.005227932
,ZNF394,0.045100536,0.807441458
,CPSF4,-0.349394068,0.003042647
,LY6E,0.804168043,9.76E-08
,VPS28,-0.089037007,0.588475292
,TONSL,-0.842592564,0.000363274
,PTGER1,0.621549306,0.195747442
,PWWP3A,-1.420139763,4.30E-07
,RECQL4,-1.027831128,1.19E-05
,LRRC14,-0.370031804,0.003089008
,ZNF333,-0.132368252,0.406074935
,COL26A1,0,NA
,PPP1R16A,0.398783707,0.047926365
,FOXH1,0.372134628,0.500206223
,ORAI2,0.047219609,0.81200413
,ALKBH4,-0.194708906,0.443606174
,CCDC105,NA,NA
,SH2B2,-0.625131338,0.000509733
,MRNIP,0.22807687,0.171484853
,SQSTM1,0.382065025,0.000289497
,MGAT4B,0.356573897,0.004702586
,RPL8,0.241144578,0.013876692
,MAML1,0.21914033,0.048147479
,PGLYRP2,0.218555553,0.782744862
,LRWD1,-0.597413253,0.000280496
,FBXL13,0.514384827,0.250622199
,NAPEPLD,-0.405030251,0.004205705
,SCGB3A1,-0.766971643,0.05992582
,PSMC2,-0.0527183,0.759378569
,CELF5,-0.046338392,NA
,MFSD12,-0.327923214,0.051701993
,AC008132.1,0.041983092,NA
,AC007663.1,-0.414616409,0.552355397
,USP41,0.022686328,0.9762194
,YDJC,-0.357238636,0.010355342
,CCDC116,-1.023718595,0.042105656
,DVL3,-0.136675955,0.271981798
,AP2M1,0.148165298,0.170936448
,ABCF3,0.066646756,0.695372492
,PCYT1A,0.487159497,6.16E-07
,FBXO27,0.721861739,0.190182363
,DMKN,0,NA
,U2AF1L4,0.250328289,0.142912315
,BDH1,0.492869899,0.087153585
,NPHS1,-0.078860616,NA
,THAP8,0.254956872,0.41638705
,COX7A1,-0.010497542,0.988939726
,ZNF382,-0.20804537,0.763494241
,LRRC56,-0.201203892,0.741442163
,PLXDC1,0.269119558,0.36504036
,PGAP3,0.627789667,0.000615314
,IKZF3,-1.097487929,0.034979042
,GRIN2C,-0.203136676,0.810219847
,FDXR,-0.038725512,0.909309444
,SAP30BP,-0.059734416,0.707722234
,ACOX1,0.37906814,0.00133262
,PRPSAP1,-0.17401932,0.294352701
,CYGB,0.041983092,NA
,SRSF2,-0.485222657,4.13E-07
,ZNF577,-0.133118813,0.662219077
,TMEM143,-0.545723473,0.00055464
,KLHL10,1.099954674,0.041862422
,CCDC155,-0.016595393,0.979719869
,HCRT,0.126356475,NA
,ALDH16A1,-0.399651046,0.010537705
,DCD,0,NA
,ITGA5,0.178236319,0.064089846
,SIGLEC11,0.135853222,0.861249968
,ZNF385A,1.240663916,2.17E-45
,SIGLEC16,0.144011445,0.856496828
,MPP3,-0.25386121,0.676642077
,CD300LG,0,NA
,IZUMO2,NA,NA
,NAGS,0.737355801,0.201664018
,LSM12,-0.204297753,0.488115694
,ASB16,-0.180955267,0.678721614
,EMC10,1.100682076,1.95E-18
,JOSD2,0.215025556,0.326108997
,SHANK1,-1.416509713,1.13E-16
,FAM171A2,-0.151617499,0.751274279
,DBF4B,-0.118854983,0.528261558
,PLCD3,-0.322339309,0.395195771
,FMNL3,-1.24027659,2.34E-34
,AQP5,NA,NA
,RACGAP1,-0.22303028,0.097632783
,OR7G1,NA,NA
,LARP4,-0.072389925,0.652452554
,GRASP,-0.060544816,0.947501644
,RAVER1,-0.341904573,0.000376919
,KRT84,NA,NA
,KRT82,NA,NA
,SYCE2,-0.292772247,0.538183334
,SPC24,-0.431806089,0.006059126
,IP6K3,0,NA
,LEMD2,0.198507821,0.084119667
,ALOX15,0.411730669,0.551966085
,TREML1,0.439822031,0.488515569
,ADCY10P1,-0.021556965,0.952157943
,ZNF653,-0.238035956,0.459551875
,MED11,0.106829995,0.791138839
,CXCL16,2.679441684,1.78E-10
,SCIMP,1.387955485,4.95E-25
,BCL6B,-0.414451689,0.5342909
,ASGR2,-0.225739633,0.175787881
,TNFSF13,0.437186789,1.24E-05
,SENP3,0.022213197,0.934683617
,FGF11,0.487410743,0.023187405
,EIF4A1,-0.269364029,0.003850682
,RPL26,0.419997253,1.53E-06
,CCDC42,-0.382762846,0.599570376
,POLR3K,-0.594973884,6.76E-05
,SNRNP25,-0.686842297,6.87E-08
,PRR35,NA,NA
,WDR90,-0.131672346,0.446427976
,JMJD8,-0.40053933,0.054763717
,CCDC78,0.053829122,0.91906177
,MSLNL,-0.570966597,0.295072815
,SSTR5,NA,NA
,SPSB3,0.000161699,1
,MEIOB,-0.874512127,0.000447318
,HS3ST6,NA,NA
,TEDC2,-1.084685569,6.05E-09
,CCNF,-0.424113413,0.003433519
,TBC1D24,0.085715546,0.714671672
,AMDHD2,1.040196576,4.83E-10
,NTN3,0.377598488,0.517940009
,BICDL2,0.007479431,NA
,PAQR4,-0.12819385,0.640811643
,FLYWCH2,0.612489459,0.003532665
,ZG16B,NA,NA
,ZNF75A,0.704722671,0.003410294
,ADCY9,-2.409855481,2.79E-97
,SHANK2,0.227962257,0.756480656
,CLPB,-0.207353341,0.137792898
,NEU3,0.912215318,1.09E-15
,CYB561A3,-0.002384832,0.988991275
,PPP1R32,0.217396866,0.598395359
,ASRGL1,-0.003953214,0.983256196
,GNG3,-0.164116395,0.840303556
,UBXN1,0.159464412,0.292037123
,LBHD1,-0.103403636,0.735659198
,TTC9C,0.189024235,0.240665567
,TAF6L,-0.237380779,0.310476946
,NXF1,0.040201402,0.866569845
,STX5,0.043530019,0.848600395
,SLC25A45,0.505553788,0.000930221
,RPL29,0.284117974,0.001193816
,ITIH3,-0.284295065,0.444044405
,SYVN1,0.062757069,0.764658473
,ZFPL1,-0.191172432,0.701402373
,RPS6KA4,-0.232923715,0.083740826
,LRP5,-2.242461444,1.35E-19
,TPCN2,0.818937128,1.72E-21
,FGF19,NA,NA
,CYP4A22,0.048090164,NA
,PDZK1IP1,0.041983092,NA
,TAL1,0.283056213,NA
,CMPK1,0.329399357,0.001160941
,BEND5,-1.094456027,7.58E-09
,ELAVL4,-2.331742209,2.49E-15
,COA7,-0.044665971,0.856973847
,ZYG11B,0.158480201,0.375552151
,SLC1A7,-0.347784742,0.639032448
,CZIB,-0.166543335,0.144723853
,MAGOH,-0.432963013,0.001056095
,ACOT11,0.131790317,0.725915003
,FAM151A,-0.388487969,0.598395359
,PARS2,0.052733421,0.904113714
,LEXM,0.208886937,0.719760386
,BSND,1.127567332,0.026817071
,USP24,0.171578471,0.160218707
,PLPP3,3.503178931,3.34E-18
,NOL9,-0.134197203,0.38686848
,PRKAA2,-0.055709607,0.958083322
,KLHL21,0.039918565,0.874171724
,ZSWIM5,-0.426580695,0.5015871
,GMEB1,-0.395252489,0.000387532
,SLC45A1,-0.075722146,NA
,SELENON,0.267017548,0.018776872
,AK4,0.294561925,0.549973744
,JAK1,0.219098186,0.087824709
,RAVER2,-0.540196732,0.001922361
,CTRC,0.81572689,0.1640691
,LZIC,-0.105953612,0.5229989
,RBP7,1.322911539,0.00443976
,KNCN,NA,NA
,FBLIM1,NA,NA
,TMEM82,NA,NA
,SLC25A34,-0.177437613,0.583046548
,AKR7A3,-0.419644386,0.450347122
,DRAXIN,1.128541619,0.000136443
,PDPN,0.058992183,NA
,LRRC38,NA,NA
,DHRS3,-2.587136056,7.10E-12
,MATN1,0.021537792,0.979024463
,LAPTM5,0.366750058,0.000272381
,SDC3,-0.049751964,0.914303517
,PEF1,-0.122974332,0.549973744
,SYNC,0.023638012,0.974786222
,RBBP4,-0.179962451,0.154433311
,KIAA1522,-0.252588975,0.146237234
,TSSK3,0.197958272,0.802960167
,TMCO4,0.281382032,0.020257151
,UBXN10,-0.183312129,0.766077464
,CAMK2N1,-0.152849162,0.867020974
,ALPL,0.061956635,NA
,WNT4,0.146248265,0.871521835
,TTLL10,NA,NA
,SCNN1D,0.436028121,0.018337111
,MXRA8,0.89825887,1.59E-06
,FAAP20,-0.180252563,0.301402406
,MEGF6,-0.637927022,9.30E-05
,CCDC27,-0.194666273,0.767733565
,IL23R,-0.34188952,0.644838106
,DIRAS3,0.991426493,0.046228087
,C1orf87,NA,NA
,NFIA,-0.398730892,0.081860041
,OMA1,-0.083649268,0.770495173
,MYSM1,0.328732894,0.001382196
,TM2D1,-0.055035803,0.804520136
,USP1,-0.578396403,4.75E-07
,FUBP1,-0.182141546,0.082362367
,NEXN,0.101481827,0.703849473
,DNAJB4,-0.629850187,0.000387398
,ADGRL4,0.101388176,0.899444674
,LRRIQ3,-0.12517072,0.871339155
,LRRC53,NA,NA
,TYW3,0.101924452,0.518572011
,LHX8,0,NA
,SNX7,-0.657924909,0.013063572
,B3GALT2,0.353898457,0.579084723
,NTNG1,1.226073605,3.01E-06
,FAM102B,0.43083888,0.000895433
,HENMT1,-0.67640301,7.21E-09
,AKNAD1,0.63766191,0.26913943
,C1orf52,0.095747325,0.554472017
,WDR63,1.108928716,0.037595022
,GBP2,1.287624126,3.97E-16
,ATXN7L2,-0.745227479,3.32E-05
,GBP4,1.48854493,1.80E-08
,ZNF326,-0.131608803,0.391317161
,HFM1,-0.658806989,0.261118632
,BRINP3,0.00903303,NA
,GFI1,-0.382786011,9.83E-06
,LSP1P3,NA,NA
,KCNT2,-0.072655765,0.919734209
,AGL,0.033240324,0.898062854
,VCAM1,0.238605106,NA
,EXTL2,-0.525858009,5.41E-05
,SLC30A7,0.348961561,0.006468872
,DNAJA1P5,0.041983092,NA
,ZNF281,-0.334955546,0.001151056
,ARPC5,0.004114168,0.980105433
,CADM3,0.295394384,0.688512143
,NLRP3,-0.918902154,1.37E-19
,ZNF496,0.296189495,0.00974728
,TRIM58,-0.481587577,0.029530997
,SLAMF9,0.669041338,0.033533267
,OR2M5,0,NA
,KCNJ9,0.017159343,0.978439112
,IGSF8,-0.577367255,0.003408023
,DDR2,-0.97947623,0.027201428
,PEA15,-0.566581375,3.80E-05
,PEX19,0.386012405,0.00159049
,NCSTN,0.557365497,5.71E-11
,VANGL2,-3.335061082,2.47E-44
,SLAMF6,-0.810970538,0.015422227
,OLFML2B,1.635446343,0.000626807
,FCRLB,0.437574681,0.126135801
,FCGR3B,0.203253241,NA
,SLC9C2,-0.517498504,0.34665303
,KLHDC9,-0.088737447,0.924277263
,C1orf74,0.053458011,0.907461488
,LMX1A,0.078834053,NA
,LRRC52,0.020541887,0.978439112
,FLVCR1,-0.36560275,0.006786785
,FAM71A,NA,NA
,ATF3,-2.079679584,6.57E-09
,RBM15,-0.302653836,0.018068331
,DENND2D,-0.149183788,0.339574371
,AXDND1,0.283753248,0.705198471
,TDRD5,-1.300244728,1.74E-08
,IER5,-1.012005764,1.55E-18
,SNED1,0.692453907,0.046612753
,BPNT1,-0.263902074,0.058023083
,SPATA17,-0.105724612,0.882164332
,C1orf115,0.778610468,0.021006857
,BROX,0.215305908,0.139175843
,NBPF20,0.303448906,0.580270298
,ACP6,0.321555504,0.135997925
,MT2P1,0.112547167,0.897780768
,WDR64,0.33410793,0.664159251
,KIF26B,0.11003876,0.509156669
,TFB2M,-0.397098954,0.005923392
,CNST,0.449181846,0.001156989
,PPP1R21,0.577751975,6.90E-09
,KLHDC8A,0,NA
,PM20D1,-0.346894127,0.584833233
,PKDCC,-1.691380444,0.000243374
,OXER1,0.487532095,0.004283289
,HAAO,-0.070097644,0.758351656
,B3GALNT2,-0.084574425,0.694801784
,C1orf147,0.560052578,0.244206278
,MAPKAPK2,-0.04023011,0.80935561
,IL20,NA,NA
,IL24,0.29392558,0.57868828
,FCMR,-0.113019012,0.809989978
