Sample,A5,SEM,p247,RS411,p179,p318,p279,p454,A80956,A70498,A82485,A89691,ML2,148752,152985,p186,p160,p214,KOPN8,R5395,R5652
Primer,MEIS1_FWD1_REV1,MEIS1_FWD1_REV1,MEIS1_FWD1_REV1,MEIS1_FWD1_REV1,MEIS1_FWD1_REV1,MEIS1_FWD1_REV1,MEIS1_FWD1_REV1,MEIS1_FWD1_REV1,MEIS1_FWD1_REV1,MEIS1_FWD1_REV1,MEIS1_FWD1_REV1,MEIS1_FWD1_REV1,MEIS1_FWD1_REV1,MEIS1_FWD1_REV1,MEIS1_FWD1_REV1,MEIS1_FWD1_REV1,MEIS1_FWD1_REV1,MEIS1_FWD1_REV1,MEIS1_FWD1_REV1,MEIS1_FWD1_REV1,MEIS1_FWD1_REV1
Delta Delta Cq Expression,1,4.593706566,8.097060674,8.494034821,10.67569856,1.870378674,5.538651924,7.621588994,1,1.697095796,0.931409417,2.204856496,0.005073505,1,0.053136193,4.503330236,2.470834017,2.271578214,1.313972078,2.838763605,3.194240527
Delta Delta Cq St. Deviation,0.075347346,0.349213382,1.606468986,1.293761084,1.761684008,0.643550875,1.881760692,1.045925587,0.088591157,0.226747002,0.010581172,0.382444073,0.000772019,0.057702925,0.006990319,1.146697533,0.179887722,0.486639486,0.170614333,0.747575231,0.564142421
Oncoprotein Score (chr2:66408623-66599345),15.8668756,34.5635647,32.16288492,35.43033444,35.83777154,26.75351939,31.7210719,35.75743289,14.82734632,11.4740368,36.72910223,26.31041077,-0.008596171,19.60139962,0.056599662,44.17059348,33.93636352,26.85085136,26.96066024,15.65765846,14.17869552
