DESeq2_MV4;11_MEN1-WT+1uM SNDX5613 vs. MEN1-WT+DMSO,Gene,log2FC,padj
,DMTF1,0.292413599,0.002339358
,OCM2,0,NA
,TMEM243,-0.13996429,0.529387372
,CCDC146,0.553819557,0.000173559
,TMEM60,0.044496814,0.773247294
,CD36,0.433595728,7.23E-07
,UGT2A3,NA,NA
,CSN2,NA,NA
,UGT2B28,0,NA
,PNPLA8,0.098509232,0.322849405
,HILPDA,-0.69530222,2.91E-16
,FAM71F1,0.001006209,NA
,RINT1,-0.228005783,0.022074904
,SRPK2,-0.14884193,0.056630707
,KCP,0.064391345,0.896134761
,TES,0.633905507,0.101684065
,MDFIC,0.495179924,1.07E-11
,MTO1,-0.197155278,0.000389141
,ADGRB3,1.174723402,5.67E-05
,ANKRD6,0.186140829,0.685598701
,HTR1B,NA,NA
,KHDC1,-0.074428582,0.860435879
,CEP162,0.289041691,0.008638697
,SYNCRIP,-0.289035908,1.00E-08
,SNX14,-0.141714414,0.05260836
,NT5E,-1.652995369,9.58E-07
,MRAP2,0.01191074,NA
,EPHA7,0,NA
,AKIRIN2,-0.40197822,4.62E-09
,ORC3,-0.043534275,0.728994497
,LCA5,0.359788456,0.318969688
,MAP3K7,-0.246703813,3.28E-06
,CGA,0.01191074,NA
,GJA10,NA,NA
,PRR5L,-1.0494035,2.22E-06
,LMO2,-0.845285524,4.79E-74
,PHF21A,0.204317112,0.021741311
,NAT10,-0.239335841,1.24E-08
,EHF,0,NA
,ELF5,0.01191074,NA
,PRRG4,0.876425741,1.09E-23
,CAPRIN1,-0.300619285,9.17E-12
,ATP5MC2,-0.018532914,0.8140421
,DNAJC14,0.014049848,0.9032635
,CD63,-0.010876076,0.911866249
,PRPH,-0.021501722,NA
,AVIL,0.555612085,0.04636987
,AMHR2,0,NA
,LACRT,NA,NA
,GDF11,-1.021377245,1.32E-23
,GLS2,-0.066496021,0.818733521
,ITGA7,0.531829144,1.57E-10
,TESPA1,-0.384458583,0.267345313
,FAM186B,0.01451043,0.973192264
,RDH5,1.137451227,4.85E-07
,AGAP2,-0.127058366,0.220630625
,BLOC1S1,0.140876881,0.079148623
,KRT85,0,NA
,CDK4,-0.602516655,5.81E-22
,PPP1R1A,-0.097678808,NA
,TROAP,1.072293179,2.13E-34
,TSPAN31,-0.312615036,0.0018284
,B4GALNT1,0,NA
,TFCP2,-0.130229532,0.061101338
,COQ10A,-0.201418824,0.291427929
,FAIM2,NA,NA
,PAN2,0.850846159,2.39E-27
,ESPL1,0.10338236,0.225967847
,KRT87P,0,NA
,KRT7,-0.036785908,NA
,ZC3H10,0.087633298,0.572961303
,HNRNPA1,0.093123332,0.055206343
,SLC26A10,0,NA
,ACVR1B,0.217373799,0.034937244
,OS9,0.591518339,2.08E-39
,MIP,0.076373814,0.861315755
,KCNH3,0.209198784,0.593786618
,LTV1,-0.116693084,0.156220042
,MAP7,-0.480790729,0.206771823
,CD164,-0.479599397,4.36E-12
,AFG1L,-0.234660497,0.081699343
,NHSL1,-0.095728918,0.75493916
,AHI1,-0.5393312,0.000280232
,HEY2,-0.058749178,NA
,PKIB,-0.373917734,6.72E-05
,TAAR5,NA,NA
,NMBR,0.01191074,NA
,SMPD2,-0.003698477,0.985047995
,MICAL1,0.179640621,0.008307254
,REPS1,-0.108215737,0.082210038
,STX11,1.63342897,7.49E-32
,TEC,-1.030657398,2.61E-36
,PRADC1,0.065390202,0.646619068
,SEMA4F,0.992761501,0.002176305
,CCT7,-0.707928235,3.24E-54
,EGR4,-0.454360281,0.141079108
,RAB11FIP5,-1.422936999,3.15E-05
,SMYD5,-0.463062729,1.57E-07
,DYSF,0.135286393,0.63901718
,CCDC142,0.769393262,2.17E-11
,EMX1,0.036274366,NA
,KCNMB4,-0.594174677,0.084489786
,USP15,0.013152264,0.894369675
,GNS,1.059845548,1.43E-82
,CPM,1.451090826,3.87E-84
,MDM2,-0.27751901,0.003218236
,KLHL36,0.384427143,6.42E-08
,BCO1,0,NA
,MPHOSPH6,-0.300685926,0.000611528
,CHST5,0.20752374,0.494330605
,KIAA0513,3.164552362,3.01E-37
,DYNC1LI2,0.435513849,7.54E-08
,FBXL8,0.830488744,5.30E-07
,FHOD1,-0.107522157,0.214359711
,CCDC102A,-2.44813592,8.15E-35
,SLC9A5,-0.008231099,0.985313488
,AGT,0.667217741,2.88E-11
,PCNX2,1.991360697,1.39E-55
,KCNK1,NA,NA
,URB2,-0.173207393,0.068336201
,EGLN1,0.328093322,2.99E-05
,CAPN9,-0.122044811,NA
,COG2,0.110937756,0.224294863
,ABCB10,-0.495560991,1.63E-15
,NTPCR,-0.280560693,2.69E-05
,TAF5L,-0.109357909,0.113274544
,GLUL,-0.651470814,6.26E-34
,STX6,0.222897451,0.002591894
,RGS8,-0.305116805,0.490885042
,RNASEL,-0.458463299,3.04E-08
,DHX9,-0.342078328,1.19E-13
,KIAA1614,-0.97198244,0.000817938
,CEP350,0.384036539,9.04E-05
,NPL,-0.160635895,0.375171435
,NIBAN1,0.240541262,0.19554633
,PIGC,0.192324225,0.033302087
,LAMC1,0.095641442,0.289757475
,RC3H1,0.257720554,0.030023341
,GPR55,-0.426882169,0.246173218
,SP110,0.064980081,0.653341435
,MRPL44,-0.549472294,1.33E-19
,CHRND,0.108158286,NA
,PAX3,0,NA
,DOCK10,0.256731759,0.001408441
,TTLL4,0.36976007,1.20E-06
,USP37,-0.276028312,0.002272218
,HTR2B,0.02085763,0.965641633
,ITM2C,-0.097479551,0.176053704
,SLC19A3,0,NA
,SERPINE2,-1.402606474,4.16E-06
,DNAJB2,0.845611398,1.06E-12
,WNT10A,-0.286638599,0.514208211
,TMBIM1,0.125504008,0.187476764
,CYP27A1,0.017882344,0.964378656
,EIF4E2,-0.245491427,4.04E-05
,ARMC9,-0.167593098,0.373625634
,CAB39,-0.190395729,0.000228026
,COX5B,-0.142757777,0.031946896
,REV1,0.024633099,0.814476391
,TSGA10,0.346250904,0.232343204
,MFSD9,0.013163745,0.948680458
,TMEM127,0.324310074,1.82E-07
,EDAR,0.033233762,NA
,TGFBRAP1,-0.042300338,0.686317441
,GCC2,-0.054450282,0.650700841
,MRPS9,-0.463310507,3.82E-06
,GPR45,-0.063705993,NA
,C2orf49,-0.06747286,0.60428271
,ANKRD36,0.804423973,9.60E-06
,EPC2,0.133516615,0.111294134
,ARHGEF4,0.001581958,NA
,ISCU,-0.021658716,0.833748212
,ALDH1L2,-2.39838802,5.56E-32
,STAB2,0.746545264,0.018162803
,USP44,-0.202514668,0.612439652
,SCYL2,-0.338062549,5.96E-07
,CKAP4,-1.901207438,4.95E-42
,PLXNC1,1.618702493,7.65E-67
,APPL2,0.291390123,0.017031391
,PWP1,-0.479484746,2.15E-20
,DRAM1,0.659687876,1.78E-06
,WASHC4,0.205740457,0.008120072
,SLC41A2,0.230781825,0.62923463
,VILL,0.829931691,8.85E-19
,FLNB,0.770775369,3.65E-27
,NEK3,0.384369252,0.004851289
,PCDH8,-0.009920073,NA
,VPS36,0.352871401,3.17E-08
,RNASEH2B,-0.259038682,4.91E-06
,CKAP2,0.244423496,1.08E-05
,CNMD,0.002225259,NA
,TBC1D4,-2.022617101,1.36E-17
,THSD1,0.250375643,0.562543872
,BORA,-0.123804138,0.262755168
,LRCH1,-0.541981774,1.08E-10
,SUCLA2,-0.408040327,1.63E-11
,RCBTB1,0.695161187,1.38E-18
,MED4,-0.102626711,0.316866583
,PHF11,0.222477823,0.043092843
,RPL13AP25,0.147500884,0.612980524
,COG3,-0.029812838,0.789980735
,LMO7,0.478735292,2.27E-05
,SCEL,0.01191074,NA
,ITM2B,0.04348638,0.604203011
,SPRY2,-1.979739186,2.28E-24
,NUDT15,-0.65451352,3.35E-16
,EDNRB,0,NA
,RCBTB2,1.536157371,3.27E-71
,LCP1,-0.276437985,5.42E-12
,SETDB2,0.074969499,0.310959097
,SCRN1,0.274652742,0.423219464
,C7orf25,-0.165124924,0.232063379
,TNS3,0.668234609,3.74E-28
,SPDYE1,-0.037532723,0.948626827
,CHST12,1.218747089,2.43E-13
,IGF2BP3,0.090317952,NA
,GPNMB,1.20354105,0.000619821
,RAPGEF5,0.026648605,NA
,RAC1,0.128142806,0.008858254
,KDELR2,-0.162953566,0.013969841
,NUP42,0.173733111,0.096660129
,IL6,-0.016975809,NA
,ZDHHC4,0.233914457,0.017848679
,AOAH,4.678719498,2.28E-242
,BZW2,-0.756863575,1.10E-58
,DGKB,0,NA
,TBRG4,-0.444139663,2.66E-11
,DDX56,-0.279562157,4.85E-07
,HUS1,-0.201687146,0.087821232
,NACAD,-0.021585771,NA
,C7orf69,0.01191074,NA
,DBNL,0.237182252,4.42E-05
,CCM2,-0.541797883,2.45E-17
,MYO1G,0.05293228,0.432707958
,TTYH3,-0.192986261,0.018691431
,MMD2,NA,NA
,CIDEB,NA,NA
,AL355922.1,0.636994369,2.68E-08
,TTC5,-0.213688407,0.040807837
,NKX2-8,NA,NA
,NKX2-1,NA,NA
,ZFHX2,0.091399463,0.749958008
,MTHFS,-0.217024807,0.27711444
,ADAMTS7,-1.681816889,6.82E-07
,ABHD17C,-0.106891199,0.75765685
,IREB2,-0.192722476,0.00197635
,ALPK3,0.121873929,0.818733521
,TM6SF1,0.508729412,0.184460279
,CIB2,-0.935576839,0.00483211
,CALCOCO2,-0.729959642,7.88E-34
,RSAD1,-0.027951236,0.803142861
,NMT1,-0.094849245,0.056062875
,MYCBPAP,0.288955798,0.50241578
,SRSF1,-0.124176608,0.070074435
,VEZF1,0.330680242,6.31E-07
,CHAD,0.14159233,0.740747068
,TACO1,-0.145044343,0.147668612
,TEX2,0.703927353,8.85E-33
,DCAF7,0.184854157,0.000405195
,GH2,0,NA
,CSH1,NA,NA
,LIMD2,-0.459372966,1.13E-08
,BRIP1,0.046152399,0.687314943
,KAT7,-0.103284503,0.26274466
,RTP4,-0.178007916,0.564397939
,ACTL6A,-0.492593702,6.54E-18
,NDUFB5,0.217805577,0.000891157
,MRPL47,-0.40415288,1.22E-06
,TRA2B,-0.242741334,7.64E-08
,SCN2A,0.01191074,NA
,TBR1,0.069599592,NA
,MARCHF7,-0.678264675,7.17E-45
,ERMN,-0.392781174,0.278834215
,GALNT5,0.01191074,NA
,SCN7A,-0.198642303,NA
,TANK,-0.053254299,0.639019221
,BLK,-0.0474493,0.908432506
,GATA4,1.296308436,0.000102327
,SKIL,1.413951518,2.04E-46
,EPRS1,-0.454081462,4.72E-11
,HLX,-0.623287124,2.39E-10
,VPS45,0.472106535,2.38E-09
,IL10,0.05583719,NA
,KCTD3,0.106958065,0.225553756
,RPS6KC1,0.141047146,0.306180504
,CBWD2,0.16278725,0.097344315
,IL36G,NA,NA
,IL1RN,0.600181643,5.68E-08
,IL36A,-0.009920073,NA
,IL36RN,NA,NA
,IL36B,0,NA
,IL1F10,NA,NA
,CFC1,NA,NA
,SMPD4,-0.108825397,0.179067129
,WDR33,-0.218232999,0.000145255
,CCDC115,0.133117123,0.111444691
,SAP130,-0.099118676,0.280635441
,BIN1,1.993869709,4.48E-22
,IMP4,-0.377014249,2.53E-07
,HS6ST1,0.343366333,4.10E-05
,UGGT1,0.388733092,1.36E-05
,GYPC,1.118215841,8.02E-13
,STAM,0.024947852,0.868271995
,GAD2,NA,NA
,ABI1,-0.088942962,0.171517171
,YME1L1,-0.370484156,3.17E-15
,DNAJC1,0.16460727,0.309339939
,NIPSNAP3A,0.08239543,0.407565382
,LRRC8A,-0.146922051,0.117406238
,CDK9,-0.19082196,0.002318917
,TXN,-0.357840632,6.56E-09
,ODF2,0.080036557,0.201052936
,ECPAS,-0.18257533,0.0011615
,TOR1B,0.12244473,0.160499212
,C9orf78,-0.214527917,0.000118879
,SMC2,-0.154368459,0.013361565
,KLF4,3.474994727,2.58E-214
,TOR1A,0.035248647,0.645597866
,RALGPS1,0.517674152,0.009660829
,NIBAN2,-0.947436808,3.26E-33
,OR1J1,NA,NA
,OR13C9,NA,NA
,ST6GALNAC4,0.038381161,0.826706964
,TMOD1,1.45547808,3.50E-08
,DAB2IP,-0.744034058,0.009703047
,STXBP1,1.010985513,2.01E-29
,SLC2A8,0.051839366,NA
,ANGPTL2,-1.235329237,0.0002692
,CDK5RAP2,0.122402147,0.092784701
,ZFP37,0.065324943,0.8964637
,SLC31A2,0.966852317,0.006727276
,SLC31A1,-0.191630476,0.053973532
,TLR4,2.257997081,1.33E-120
,ZNF189,0.120026458,0.177349998
,ALDOB,0.326600445,0.358627085
,STX17,0.415719736,0.00010632
,PRPF4,-0.265509177,9.57E-07
,FPGS,-0.415482352,2.57E-07
,USP20,-0.196562816,0.017063667
,BAAT,0.067583314,NA
,KIF12,-0.163275062,NA
,ATP6V1G1,0.029116802,0.701105166
,TEX10,-0.514582317,4.59E-15
,GARNL3,0.186771988,0.538342173
,MRPL50,-0.401404307,3.18E-06
,DPM2,-0.23367889,0.002759999
,WDR38,-0.014827132,NA
,TSTD2,-0.137792777,0.318726332
,GABBR2,-0.116552849,0.756010878
,HEMGN,NA,NA
,PSMB7,-0.240939364,6.35E-07
,NR5A1,-0.064265397,0.850160115
,TRMO,-0.146074385,0.305967455
,RABEPK,-0.234212567,0.039149958
,GOLGA1,0.661840616,1.94E-14
,XPA,0.355245467,0.003608994
,NCBP1,-0.182884354,0.005131098
,ANP32B,-0.254416149,2.16E-10
,OR1L4,NA,NA
,PDCL,-0.407111516,5.09E-06
,RPL35,-0.03284167,0.781969791
,CTSV,-0.376606351,0.384673143
,LMX1B,0,NA
,ARPC5L,-0.646701328,4.66E-22
,ENPP2,1.07984069,1.01E-27
,DSCC1,-0.450420367,5.69E-11
,DERL1,-0.519879635,3.87E-12
,MYC,-0.422870108,4.01E-20
,CCN3,-0.410436409,0.324428704
,IL33,0,NA
,DMAC1,-0.313520069,0.000321933
,RANBP6,0.18779127,0.024514152
,POLR1E,-0.564833991,1.78E-20
,PLAA,-0.557714663,1.56E-16
,IL11RA,0.959220516,2.03E-06
,UBAP2,-0.234980117,0.000398478
,APTX,-0.396934387,1.40E-07
,RNF38,-0.020229876,0.865526642
,TLN1,0.02001581,0.814476391
,CCL21,NA,NA
,SIT1,-1.231955035,0.000414756
,IFNA21,0,NA
,DMRT1,0.350216927,0.293587635
,DNAJB5,0.44752655,0.063203216
,SPAG8,0.955112685,0.000102502
,DCTN3,-0.084618806,0.380211556
,CD72,-3.079678624,1.14E-59
,TMEM8B,0.381074727,0.023978787
,GRHPR,-0.374019229,1.14E-07
,ALDH1B1,-0.595526392,4.39E-29
,HINT2,0.061953762,0.652656991
,ARHGEF39,-0.261671039,0.000653016
,IGFBPL1,NA,NA
,DENND4C,0.276493182,0.017152279
,RPS6,0.079204437,0.378842256
,CNPY3,0.514567024,1.68E-21
,FOXP4,0.385235707,1.03E-05
,PPIL1,-0.150084069,0.061101338
,KLC4,0.552162727,2.50E-06
,KIF13A,1.683803386,6.37E-07
,ZSCAN9,-0.107283355,0.453914172
,PIM1,-0.151058301,0.034942117
,GMPR,-1.507015238,7.84E-06
,CMTR1,0.721105321,6.90E-29
,TFAP2A,0.263195189,0.501504655
,SLC22A7,NA,NA
,YIPF3,0.021475127,0.815588678
,TMEM14B,-0.169062884,0.014354945
,TMEM63B,0.318999665,0.002898034
,FRS3,1.034673084,1.79E-09
,TJAP1,0.452547049,2.39E-09
,CAPN11,-0.952971184,0.000539158
,TINAG,NA,NA
,HCRTR2,-0.009920073,NA
,KIAA0319,0,NA
,IRF4,-2.730602373,7.11E-30
,SLC22A23,0.303109684,0.471744181
,TUBB2A,0.238896812,0.609632196
,LRRC1,0.512581681,0.198118872
,GCM1,0,NA
,FOXF2,0.001096047,NA
,BPHL,0.469085139,0.030227763
,RIPK1,0.402164875,1.23E-08
,TUBB2B,0.243803322,0.3344494
,UQCC2,-0.199606066,0.035866853
,HMGA1,-0.341838649,6.09E-10
,TCF19,0.028626111,0.746863521
,FLOT1,1.215257652,1.52E-50
,IER3,1.448831387,1.66E-05
,MDC1,0.290942098,4.25E-05
,PGBD1,0.393993008,0.01469966
,ATAT1,-0.042901464,0.831289916
,TPMT,0.369887186,4.53E-06
,CLPS,NA,NA
,RNF144B,0.593465299,0.128744539
,NRM,-0.406906897,3.97E-09
,MTCH1,0.045613019,0.586977059
,VARS2,0.689668376,6.59E-18
,TAF8,-0.013141049,0.925121033
,FAM8A1,0.136788376,0.201687164
,C6orf52,0.288763295,0.529652676
,FGFBP1,NA,NA
,FGFBP2,NA,NA
,CPEB2,-1.785798102,5.22E-95
,FHDC1,-0.248158836,0.573500184
,TLR2,1.004430993,1.18E-113
,MGARP,0.297400417,0.390003226
,TTC29,0.01191074,NA
,MYO7A,0.033218084,0.726947788
,FCHSD2,-0.215488441,0.000345477
,ARRB1,-0.695892352,2.25E-30
,SLCO2B1,0.769837185,0.006967637
,THAP12,-0.058499847,0.473777381
,ANKRD42,0.017092529,0.918538265
,IL18BP,1.364015525,2.14E-30
,NUMA1,0.11745963,0.171001598
,CCDC90B,-0.767233065,7.12E-21
,SYTL2,0.575194861,0.147056883
,RAB30,-0.01033973,0.984938501
,CREBZF,0.487794015,4.57E-09
,LRRC32,-0.025945328,NA
,PRCP,1.147831607,2.05E-53
,NARS2,-0.30043712,0.000171837
,RNF121,-0.125452865,0.289325607
,MRPL15,-0.291893862,1.67E-07
,PI15,-0.06468599,NA
,TTPA,-0.009920073,NA
,GGH,-0.045074449,0.668407424
,SLCO5A1,0.01191074,NA
,SULF1,-0.085224998,NA
,TGS1,0.125483937,0.046939143
,SDCBP,0.653025775,4.51E-16
,NEK1,0.680783591,5.61E-09
,DDX60,1.047592547,0.001984972
,NXPE4,0,NA
,SORL1,3.849056861,0
,TMPRSS4,-0.037952434,NA
,BUD13,-0.144799176,0.12318823
,TRPC6,0,NA
,MMP7,0.033741552,NA
,MMP20,NA,NA
,MMP27,NA,NA
,CFAP300,0,NA
,DCUN1D5,-0.899868228,5.56E-46
,YAP1,0.004609403,NA
,TRIM29,NA,NA
,SLC37A4,0.309458955,0.000727319
,BTG4,-0.009920073,NA
,POU2F3,-0.08237919,NA
,RDX,-0.12798366,0.10385468
,PPP2R1B,-0.546785884,4.49E-18
,FDX1,-0.146980592,0.172962614
,C11orf1,-0.142240433,0.465646314
,FXYD6,0.868827289,0.018162803
,ARHGAP20,0,NA
,FXYD2,-0.439656174,0.089427304
,MMP13,NA,NA
,TMPRSS13,0.322969278,0.444154559
,CASP1,0.796315676,4.24E-31
,CASP5,0.280828522,NA
,ALKBH8,-0.16833744,0.210838767
,MAP2K5,0.052905848,0.615991776
,UNC13C,0.012407128,NA
,SQOR,0.8989707,1.19E-53
,CTDSPL2,-0.378448535,6.27E-10
,SLTM,-0.059901655,0.414929349
,THBS1,0.956353785,0.002773426
,MAPKBP1,0.4509783,6.29E-05
,NUSAP1,0.005330541,0.955585519
,NDUFAF1,-0.376989163,4.64E-05
,KIF23,-0.106474099,0.17344366
,AC027088.1,NA,NA
,ITGA11,-0.303141185,0.336900182
,KNL1,0.06635887,0.542848532
,HAUS2,-0.244852819,0.001172528
,RTF1,-0.113247221,0.038672425
,PARP6,0.617952604,2.87E-14
,RPLP1,0.099422501,0.233937551
,PAQR5,-0.947828845,0.007978627
,LRRC49,0.457822776,0.221813587
,TUBGCP4,-0.093373756,0.362455078
,RMDN3,-0.036344573,0.808601189
,ITPKA,-0.712906295,0.001725326
,UACA,0.464874679,3.42E-06
,SMAD6,0.434298756,1.99E-06
,PLCB2,1.124026068,2.78E-46
,TMEM62,1.291264224,2.45E-11
,PAK6,-0.700798735,0.000312173
,ADAM10,-0.52407458,9.07E-20
,DUOX1,0.460791653,0.258300486
,SLC28A2,0.286044816,0.275702389
,STRA6,0.01191074,NA
,CYP19A1,0.160503531,NA
,ZNF280D,0.325607993,0.001069983
,SEMA6D,0.130296302,NA
,BCL2L10,-3.260077591,1.70E-124
,RSL24D1,-0.808417238,1.12E-32
,SPTBN5,0.655062507,0.076729911
,GCOM1,0,NA
,GCHFR,-0.507715895,0.179067129
,BCAR3,-0.330820671,0.442275243
,TTLL7,0.62537796,0.097605916
,FNBP1L,-0.334245763,0.384230473
,KYAT3,-0.647739499,9.53E-16
,GTF2B,-0.438889634,3.73E-09
,BRDT,-0.009920073,NA
,RABGGTB,0.260343541,0.000739463
,IFI44L,0.066359918,0.833669976
,GIPC2,-0.113041955,NA
,ARHGAP29,0.002168095,NA
,IFI44,-0.417114009,0.238741886
,SLC44A5,0.001037431,NA
,RPL7P9,0.02059142,0.898798818
,CLCA2,-0.32854479,0.318726332
,DNASE2B,0.004364448,NA
,DBT,-0.227957514,0.033602468
,RTCA,-0.50137009,6.68E-11
,IFT172,0.639105007,3.17E-15
,SELENOI,-0.496990327,4.70E-10
,CGREF1,-1.12991159,2.04E-64
,HADHB,0.07325059,0.174825611
,KHK,-0.646339585,1.18E-07
,ADCY3,-0.138359657,0.053042958
,PPM1B,0.192723372,0.010873203
,PNPT1,-0.557548625,9.71E-19
,DYNC2LI1,-0.523950239,3.63E-05
,LHCGR,0.001045258,NA
,THUMPD2,-0.319571996,0.001020788
,CYP1B1,0.551328563,0.000961592
,SULT6B1,0.012352283,NA
,RAB1A,-0.059352164,0.390252746
,ACTR2,-0.046440723,0.480510307
,PREB,-1.375909463,4.39E-128
,SLC5A6,-0.440576641,1.01E-08
,ABCG5,0.129703418,NA
,PREPL,-0.166218753,0.034090626
,SLC3A1,0.196355191,NA
,EMILIN1,-0.866516584,1.42E-05
,FBXO11,0.013545253,0.924053184
,SIX3,0.003571695,NA
,ATRAID,0.139391535,0.077697141
,CENPO,-0.076907402,0.526971646
,LRPPRC,-0.637653378,3.06E-46
,TRIM54,-0.353102375,0.195394782
,DTNB,-0.6514464,0.086364186
,ACTR1A,-0.13404694,0.069449778
,CYP2C9,-0.009920073,NA
,MFSD13A,0.895436801,1.73E-13
,CYP2C8,0.002809979,NA
,MYOF,1.819064117,4.57E-23
,LOXL4,0.07592285,0.825041899
,STAMBPL1,-0.09729011,0.81517573
,CH25H,NA,NA
,LBX1,NA,NA
,ATAD1,-0.202899316,0.008870443
,BTBD16,-0.009920073,NA
,KIF11,0.09352486,0.171242901
,CUZD1,-0.232302077,0.619792074
,TACC2,0.196976989,0.243423779
,DUSP5,-0.291468383,0.183223953
,CALHM2,0.472410854,2.19E-10
,ARL3,0.054332169,0.738923858
,CEP55,0.212740446,0.001685873
,KIF20B,-0.130250507,0.099394561
,ENTPD1,0.809145433,2.80E-09
,EXOC6,-0.455947386,7.38E-09
,PLCE1,0.934349807,7.54E-05
,RBP4,NA,NA
,DBR1,0.00257041,0.98395905
,DNAJC13,0.480442312,2.73E-10
,GPR87,NA,NA
,ANXA7,0.244559245,0.000588344
,FAM149B1,0.145936015,0.259841958
,ASCC1,-0.480235889,5.19E-07
,PLA2G12B,0.061143627,NA
,ZNF365,0.01191074,NA
,OIT3,0.250469941,0.415185588
,ADAMTS14,-0.981794438,7.95E-09
,RPS24,0.107206549,0.158734223
,TET1,0.394775078,0.164794678
,DNA2,-0.269091935,0.002267567
,MYPN,0.002375763,NA
,AOX1,0.663912726,0.066768137
,ATIC,-0.699976703,1.74E-58
,SMARCAL1,-0.067038378,0.486458043
,BARD1,-0.232636594,0.038745597
,STAT4,0,NA
,MSTN,0.002585067,NA
,CARF,0.793432503,6.73E-10
,ASNSD1,-0.01435571,0.899021684
,METTL5,-0.48866019,5.37E-11
,SSB,-0.642152743,5.78E-37
,NAB1,-0.467064797,2.13E-06
,CDK15,0.007292175,NA
,PPIG,-0.11408282,0.077022136
,FASTKD1,-0.087188786,0.313582564
,MDH1B,-0.051634031,0.927058818
,HECW2,-0.73644148,0.038117183
,IDH1,0.093024341,0.129648245
,OLA1,-0.449437365,3.26E-18
,CIR1,-0.160413389,0.081181392
,ITPRID2,0.133740672,0.041727572
,CHRNA1,NA,NA
,FAM117B,0.011389052,0.942980726
,WDR12,-0.424091823,2.04E-12
,ABI2,-0.719403062,1.17E-15
,ITGAV,0.352304083,0.008159523
,SLC40A1,1.58852014,2.17E-06
,SLC35A5,0.002300185,0.985237642
,SLC49A4,0.9126484,2.68E-08
,SENP7,0.266401692,0.022655404
,GUCA1C,NA,NA
,CCDC54,0,NA
,COX17,-0.657506444,1.15E-10
,PARP9,1.056040698,6.29E-15
,MNS1,-0.152003341,0.458696312
,USP8,-0.14997041,0.033862202
,SECISBP2L,0.267759424,0.006811112
,TMOD3,-0.264034545,0.001752429
,SPPL2A,-0.292841392,0.001378679
,GLCE,0.666640473,1.49E-16
,SHF,0.214407185,0.653641731
,APH1B,0.173204199,0.109603163
,INTS14,-0.101261429,0.139888085
,CILP,0.034417499,NA
,PARP16,-0.256264061,0.123412467
,PPCDC,-0.048400276,0.81616509
,HCN4,0,NA
,SEMA7A,-1.049732148,9.74E-30
,UBL7,0.202811731,0.006811519
,ARHGAP24,1.47609911,1.35E-05
,FAM13A,0.899460064,0.006339935
,HERC3,0.462662544,1.75E-11
,HERC6,0.915215277,3.98E-07
,HERC5,1.839756799,4.09E-65
,PCDH10,NA,NA
,NDST4,-0.009920073,NA
,ZGRF1,0.00169217,0.990779914
,AP1AR,-0.045416789,0.726947788
,COPS4,-0.506202945,5.42E-13
,HNRNPD,-0.306519331,1.95E-10
,PRKG2,0.01191074,NA
,RASGEF1B,0.171638819,0.598960101
,SEC31A,0.035437558,0.576929559
,FGF5,NA,NA
,GPAT3,1.177731436,0.000756651
,IL21,NA,NA
,FGF2,-0.051712723,0.87446101
,BBS7,0.536656254,1.16E-06
,KIAA1109,0.947253423,9.97E-19
,BMPR1B,0,NA
,RAP1GDS1,-0.548276972,1.29E-21
,LARP1B,-0.034039016,0.791326791
,MMRN1,0,NA
,PDE5A,0.562974755,0.062959168
,PRDM5,0.179156308,NA
,TRPC3,0.018485049,NA
,NAAA,1.041416601,6.59E-65
,NUP54,-0.427560783,1.16E-11
,CXCL9,0,NA
,BMP2K,0.737165859,2.07E-11
,G3BP2,-0.520573902,2.88E-22
,SEPTIN11,-0.799361471,7.77E-53
,FRAS1,0.056778722,NA
,SCARB2,1.093549157,2.64E-36
,CCNG2,0.078218416,0.602151614
,CNOT6L,0.273971545,0.002929033
,USO1,-0.260350766,7.08E-05
,CDKL2,0.045450891,NA
,SHROOM3,0.227086944,NA
,ANXA3,0.133591782,0.691961786
,PPA2,-0.041314945,0.667026289
,CENPE,0.30981686,3.57E-05
,GSTCD,0.055276231,0.696268496
,INTS12,-0.285368512,0.016697462
,ENPEP,0.021595852,NA
,CASP6,0.16417231,0.242223999
,LEF1,-0.279965339,0.382047036
,HADH,-0.361941346,3.57E-09
,EGF,-0.127989556,NA
,PAPSS1,1.160018018,8.46E-63
,SEC24B,-0.082566883,0.43429028
,C4orf17,NA,NA
,PPP3CA,0.039243055,0.691961786
,SLC39A8,-1.223880969,4.87E-71
,MTTP,0.052477512,NA
,FBN2,1.456689511,4.18E-10
,MAPK8IP3,1.175750288,1.09E-29
,RGS3,0.460802601,0.166900799
,GUCD1,-0.126897771,0.043868996
,TTLL8,0.003123306,NA
,RNF185,0.13562709,0.194167578
,SHISAL1,0.721936626,0.053697469
,PARVG,0.01247039,0.874091131
,B4GALNT3,-0.323317464,0.422330058
,PDE6H,0.970405368,0.004154189
,ERP27,0.416393078,0.201895516
,ETV6,-0.310157236,2.70E-05
,GABARAPL1,1.637098092,4.76E-22
,KIF21A,-0.495739009,0.224882438
,CPNE8,-0.244190967,0.014415657
,YARS2,-0.41758575,1.41E-06
,FGD4,2.505929701,2.13E-19
,ALG10,0.053863898,0.838022999
,PIK3C2G,NA,NA
,SINHCAF,-1.028060948,1.34E-66
,PLCZ1,-0.009920073,NA
,AEBP2,-0.283745206,0.000555661
,SLCO1C1,NA,NA
,ETFBKMT,0.713348922,0.020328098
