DESeq2_MV4;11_MEN1-WT+1uM SNDX5613 vs. MEN1-WT+DMSO,Gene,log2FC,padj
,PAFAH1B1,-0.050628018,0.472807307
,NOS2,-4.160527338,1.07E-56
,DNAH9,0.050547187,NA
,KIAA0100,-0.233129664,0.000247291
,SLC13A2,0.01191074,NA
,AC005747.1,0.028468727,0.869483652
,TRAPPC6A,0.177007734,0.058438111
,MATK,-0.66738166,1.27E-16
,CEACAM7,NA,NA
,CD79B,-1.403887875,3.97E-05
,SCN4A,-1.365910541,7.02E-05
,ST7L,0.291424644,0.078474031
,TKTL1,-0.30363969,0.487155687
,PAX6,0,NA
,RPUSD1,-0.188326527,0.147495837
,RHBDF1,-1.029476971,1.24E-07
,LUC7L,0.370999526,3.86E-06
,CACNA2D2,0.030856461,0.959960588
,BAIAP3,-0.326753015,0.455827744
,TSR3,-0.198609613,0.146718418
,PIGQ,-0.090984796,0.386008041
,CRAMP1,0.151823052,0.070295643
,TEAD3,-2.024749072,2.37E-70
,SELE,-0.009920073,NA
,DNAJC11,-0.284475795,0.000124248
,FMO3,NA,NA
,MYLIP,-0.811837789,2.27E-23
,NOX1,0.039607921,0.94623764
,E2F2,0.03922617,0.803940828
,PSMB1,-0.587954184,3.34E-26
,SYN1,-0.453418289,0.218014063
,JARID2,0.411683036,7.06E-10
,CDKL5,1.759674967,5.62E-14
,CAMK1G,NA,NA
,CDK11A,0.270663824,0.00834905
,NADK,0.093272199,0.190609284
,TFAP2B,-0.009920073,NA
,TFAP2D,-0.010384422,NA
,DLEC1,0.302803879,0.505497649
,CYTH3,0.693931722,9.69E-17
,ADAM22,0.718285691,6.13E-07
,SYPL1,-0.863962872,5.52E-24
,CYB561,-0.818809988,8.65E-13
,SPAG9,0.130226056,0.060143457
,CELSR3,-0.639354702,4.14E-05
,AASS,0,NA
,PLEKHG6,-0.195564065,0.654692752
,SS18L2,-0.07715125,0.553617706
,MPND,0.762522834,1.09E-05
,MGST1,0.801316188,2.87E-31
,CRY1,0.686990687,2.57E-13
,PGLYRP1,0.293885903,0.316468091
,NFIX,0.040234041,0.823920391
,ST3GAL1,-0.433827028,5.71E-11
,MMP25,2.199945927,4.84E-87
,IL32,0.926657185,0.010691628
,PKD1,-0.070119469,0.624810007
,MAPK8IP2,0.619153891,0.113193309
,MED24,0.179454908,0.002043694
,RHOBTB2,0.415374125,4.93E-08
,HEATR5B,0.30610455,0.000438427
,SEC62,0.192886047,0.001141108
,RPS20,0.10763298,0.155732212
,CSDE1,-0.108709894,0.029864377
,UBE3C,-0.404531495,3.06E-17
,REV3L,-0.364237652,0.000290727
,TENM1,0.01191074,NA
,PAX7,-0.009920073,NA
,MASP2,1.13224904,0.000221021
,IYD,0,NA
,FAM76A,0.537578866,0.000492013
,TRAF3IP3,0.469844721,1.29E-11
,POMT2,-0.092467602,0.412264253
,VTA1,-0.555715312,5.73E-19
,MLXIPL,-0.510711668,0.064560696
,BAZ1B,-0.21922896,0.000352991
,RANBP9,-0.660738952,3.96E-29
,ETV7,0.083949033,0.805849844
,SPRTN,-0.011714798,0.953474569
,EEF1AKNMT,-0.28312467,3.12E-05
,DYRK4,0.395899134,0.008033656
,ZNF207,0.006024308,0.921461259
,UQCRC1,-0.255171335,2.66E-07
,STARD3NL,-0.305644759,6.24E-05
,CD9,-3.426898255,1.39E-36
,HHATL,0,NA
,NCAPD2,0.038973413,0.49183396
,IFFO1,1.423814731,1.77E-51
,GIPR,0.327839561,0.035376382
,PHF7,0.343436355,0.000369165
,SEMA3G,-1.503773222,5.17E-21
,NISCH,0.496149348,4.39E-15
,STAB1,-0.166883669,0.674323263
,FUZ,-0.41117361,0.00016242
,SLC6A13,-0.183179817,0.627729058
,IDS,1.505862341,2.33E-111
,PRSS3,0,NA
,ZNF200,-0.461198639,2.94E-08
,CD4,0.378657563,1.56E-21
,LRRC23,-0.193536523,0.249965453
,BTK,-0.074181629,0.190364315
,HFE,-0.11057434,0.69281683
,SCMH1,-0.282535617,9.09E-05
,FYN,1.034266459,3.38E-15
,HIVEP2,0.010298971,NA
,FMO1,-0.036193231,0.951433941
